Match_Id,Match_Date,Home_Team,Home_Manager,Home_Captain,Home_Formation,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Manager,Away_Captain,Away_Formation,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score
,2023-12-09,Brighton,Roberto De Zerbi,Lewis Dunk,4231,78.25,23.75,8.5,19.75,15.25,24.5,4.25,4.0,25.0,74.25,22.75,1463.25,2.5,1.75,0.25,0.25,20.75,5.5,4.0,0.5,942.0,26.0,14.25,20.75,3.075,2.875,2.35,39.75,4.25,656.5,776.25,126.125,57.25,608.25,29.75,35.5,15.5,Burnley,Vincent Kompany,Josh Cullen,4231,69.0,13.75,8.75,15.0,24.0,39.25,5.0,13.75,30.5,117.25,23.25,1485.0,2.0,2.0,0.0,0.0,17.5,5.0,3.25,0.0,858.25,26.5,8.25,18.0,1.4,1.4,1.2000000000000002,30.0,4.0,509.0,680.0,112.30000000000001,28.0,471.5,23.25,34.5,12.25,115.08333333333333,114.71666666666667,114.83333333333334,107.625,109.62865497076024,109.16161616161617,2.0,0.5
,2023-12-09,Manchester United,Erik ten Hag,Bruno Fernandes,4231,99.5,15.5,12.25,45.75,16.75,21.0,4.25,6.5,43.75,95.75,23.25,1485.0,1.25,0.75,0.0,0.0,27.5,7.25,2.75,0.0,1188.5,29.25,9.75,12.75,1.925,1.925,1.65,50.0,2.0,865.5,1033.25,124.95,103.75,738.25,39.0,27.75,14.25,Bournemouth,Andoni Iraola,Neto,4231,68.0,20.0,9.0,22.5,12.75,22.5,1.75,9.75,28.5,92.0,24.0,1485.0,0.25,0.25,0.0,0.0,14.5,3.0,1.75,0.0,831.5,27.75,12.25,20.5,1.075,1.075,0.775,26.25,0.0,511.0,651.25,117.525,43.25,502.0,33.0,42.25,20.5,113.75,119.64379084967321,119.05,109.53333333333333,111.87745098039215,110.95833333333334,3.0,1.0
,2023-12-09,Sheffield United,Paul Heckingbottom,Oliver Norwood,442,66.5,14.75,5.5,20.5,22.5,39.0,3.5,12.5,30.75,105.0,23.25,1485.0,0.0,0.0,0.0,0.0,16.75,2.75,2.75,0.0,848.0,25.25,9.25,25.0,1.35,1.35,0.825,29.0,0.0,520.75,679.25,113.92499999999998,52.75,381.25,13.5,23.0,10.25,Brentford,Thomas Frank,Christian Nørgaard,433,76.5,18.25,11.0,28.5,27.5,34.25,1.5,11.75,30.75,95.0,22.75,1485.0,1.5,1.5,0.0,0.0,22.0,4.25,4.5,0.0,974.25,22.25,17.25,15.75,2.0250000000000004,2.0250000000000004,1.5750000000000002,37.25,2.0,647.25,810.5,117.975,60.5,586.75,28.0,18.25,8.0,104.10000000000001,107.47902097902099,104.41258741258741,104.4375,106.38461538461539,111.03846153846155,1.5,3.5
,2023-12-09,Wolverhampton Wanderers,Gary O'Neil,Max Kilman,343,58.25,27.25,1.25,11.0,14.0,44.0,3.25,13.75,17.0,86.5,22.75,1471.5,1.5,1.25,0.0,0.0,7.0,3.0,6.25,0.75,686.25,19.0,11.0,26.75,1.3,1.3,1.125,11.75,2.5,387.5,516.0,112.625,23.5,413.0,21.75,25.5,13.25,Nottingham Forest,Steve Cooper,Serge Aurier,433,65.5,14.75,5.75,22.25,19.5,45.0,3.25,12.0,24.75,92.75,24.0,1458.75,0.75,0.75,0.0,0.0,15.0,4.0,4.5,0.75,872.5,27.25,11.0,20.5,1.175,1.175,0.925,26.0,1.5,566.5,705.75,120.025,45.5,474.5,22.0,22.0,12.25,112.02380952380952,109.75,113.42857142857143,111.16666666666666,113.56837606837607,111.92857142857143,2.5,2.0
,2023-12-10,Aston Villa,Unai Emery,John McGinn,442,67.5,21.5,8.5,25.75,8.5,18.0,0.75,10.0,28.0,82.75,21.5,1485.0,4.5,3.5,0.0,0.0,27.0,10.5,4.75,0.0,745.5,24.5,10.75,18.25,2.2750000000000004,2.2750000000000004,1.75,44.5,8.0,465.0,592.25,117.625,49.0,428.25,22.5,27.5,8.75,Arsenal,Mikel Arteta,Martin Ødegaard,433,79.0,14.5,9.75,13.5,12.75,18.0,1.5,4.75,21.75,72.0,23.25,1485.0,3.75,1.25,1.75,1.75,18.75,6.5,2.5,0.0,965.75,37.0,14.0,25.0,3.325,1.9249999999999998,1.1,37.75,6.5,684.75,796.25,128.75,48.25,626.25,25.75,27.0,13.0,110.88095238095238,117.50326797385621,117.5,119.45104895104896,124.21978021978023,119.4375,4.5,2.5
,2023-12-10,Everton,Sean Dyche,James Tarkowski,4411,85.0,16.0,7.25,41.5,41.0,26.0,2.75,11.0,44.75,132.0,21.5,1485.0,3.0,1.25,0.0,0.0,34.25,8.5,1.0,0.0,1042.25,35.25,8.0,27.5,4.5,4.5,2.825,59.0,3.75,634.25,826.5,114.82499999999999,61.25,540.5,30.75,34.5,14.5,Chelsea,Mauricio Pochettino,Conor Gallagher,4231,77.25,15.25,3.5,13.0,14.0,33.25,6.5,3.0,26.25,73.5,22.75,1476.75,3.0,1.75,0.5,0.5,14.75,6.0,5.5,0.25,1010.75,34.75,11.5,17.75,2.55,2.15,1.625,23.75,5.25,729.25,841.75,129.125,47.0,654.0,32.0,30.25,12.25,112.19999999999999,112.66153846153847,112.03846153846155,114.36805555555556,116.42307692307692,116.03571428571428,1.5,4.0
,2023-12-10,Fulham,Marco Silva,Tim Ream,4231,84.25,19.0,11.0,35.5,20.75,15.25,2.75,4.0,34.0,107.5,22.75,1485.0,1.0,0.5,0.0,0.0,20.0,6.5,1.75,0.0,1040.5,30.75,18.0,16.25,2.075,2.075,1.775,34.5,2.0,721.0,878.75,122.85,71.25,624.25,38.75,20.75,11.0,West Ham United,David Moyes,Kurt Zouma,4231,66.25,13.25,8.25,26.0,22.25,26.25,2.75,15.5,22.75,100.75,21.25,1485.0,2.75,2.75,0.0,0.0,20.25,8.5,2.75,0.0,826.25,23.5,11.25,26.25,2.5250000000000004,2.5250000000000004,2.125,37.75,5.5,535.5,675.0,117.35000000000001,47.75,509.25,28.25,19.75,13.25,111.60000000000001,114.88235294117648,112.48611111111111,111.16666666666666,118.26282051282053,116.675,1.5,2.0
,2023-12-10,Luton Town,Rob Edwards,Tom Lockyer,442,62.0,21.0,9.25,39.25,37.0,32.75,5.0,17.0,38.75,145.25,22.25,1485.0,1.25,1.0,0.0,0.0,21.75,3.0,4.25,0.0,760.75,29.5,14.5,22.0,1.6,1.6,1.1,38.75,2.25,359.5,561.0,95.35,42.75,302.75,21.25,26.5,12.0,Manchester City,Pep Guardiola,Kyle Walker,3241,90.75,13.75,8.0,23.5,7.25,18.75,0.0,6.75,29.0,69.75,21.0,1473.75,1.25,0.5,0.0,0.0,21.0,7.0,5.25,0.25,1040.25,24.25,7.0,12.75,1.25,1.25,0.9750000000000001,37.75,2.5,783.0,908.0,129.3,72.75,671.25,40.5,28.5,15.0,105.42857142857144,107.95,106.65034965034965,121.74545454545455,120.56923076923076,121.19999999999999,2.0,2.0
,2023-12-10,Tottenham Hotspur,Ange Postecoglou,Son Heung-min,4231,94.25,16.5,12.25,30.75,15.5,31.25,5.75,9.75,33.75,56.5,23.5,1462.0,1.75,1.75,0.0,0.0,28.75,9.25,6.25,0.5,1147.0,34.25,14.25,20.5,3.0250000000000004,3.0250000000000004,2.375,52.5,3.5,823.75,961.5,128.15,99.75,702.75,35.75,36.75,12.75,Newcastle United,Eddie Howe,Jamaal Lascelles,433,86.25,16.25,6.0,24.25,24.5,19.0,1.5,5.0,27.25,87.75,22.25,1485.0,4.5,2.75,0.75,0.75,24.75,9.75,2.25,0.0,1052.5,24.5,6.25,22.25,4.375,3.7750000000000004,2.5,45.0,7.0,744.5,897.75,124.0,65.0,549.0,28.25,23.5,12.25,118.68686868686868,119.4055944055944,116.20833333333334,117.31428571428572,121.07638888888889,112.55844155844156,2.5,5.0
